Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0003745	Sporadic									PCS									http://www.ncbi.nlm.nih.gov/books/NBK1198/#gr_22q13_3.Genetic_Counseling	17.02.2009	
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0001263	Developmental retardation									PCS	100%								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0002116	Deficiency of speech development									PCS	hallmark								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0001319	Neonatal hypotonia									PCS	hallmark								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0003516	Normal to tall stature									PCS	hallmark								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0001176	Large hands									PCS	common								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0001800	Hypoplastic toenails									PCS	common								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0000527	Long eyelashes									PCS	common								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0007328	Decreased pain sensation									PCS	common								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
MIM:606232	CHROMOSOME 22q13.3 DELETION SYNDROME			del22q13.3		HP:0003763	Bruxism									PCS	common								http://www.ncbi.nlm.nih.gov/books/NBK1198/		
