Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0000007	Autosomal recessive inheritance			TAS	TAS						OMIM-CS:INHERITANCE > AUTOSOMAL RECESSIVE	OMIM:607903	HPO:skoehler	Oct 17, 2012	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0003777	Pili torti			TAS	TAS	rare					OMIM-CS:SKIN, NAILS, HAIR_SKIN > PILI TORTI (IN SOME PATIENTS)	OMIM:607903	HPO:skoehler	Nov 18, 2012	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0008070	Sparse hair			TAS	TAS						OMIM-CS:SKIN, NAILS, HAIR_HAIR > SHORT, SPARSE HAIR ON SCALP	OMIM:607903	HPO:skoehler	Nov 21, 2012	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0010783	Erythema			TAS	TAS						OMIM-CS:SKIN, NAILS, HAIR_SKIN > ERYTHEMA IN AFFECTED AREAS	OMIM:607903	HPO:skoehler	Nov 21, 2012	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0007502	Follicular hyperkeratosis			TAS	TAS						OMIM-CS:SKIN, NAILS, HAIR_SKIN > FOLLICULAR HYPERKERATOSIS OF OCCIPITAL SCALP, NAPE OF NECK, AND EXTENSOR	OMIM:607903	HPO:skoehler	Nov 21, 2012	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0000989	Pruritus			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_SKIN > PRURITUS IN AFFECTED AREAS	OMIM:607903	HPO:skoehler	Nov 21, 2012	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0000535	Sparse eyebrow			TAS	TAS							OMIM:607903	HPO:probinson	May 24, 2014	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0000653	Sparse eyelashes			TAS	TAS							OMIM:607903	HPO:probinson	May 24, 2014	
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0002299	Brittle hair			PCS	PCS						OMIM-CS:SKIN, NAILS, HAIR_HAIR > SHORT, SPARSE HAIR ON SCALP	pmid:16439973	HPO:probinson	May 24, 2014
OMIM:607903	#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL					HP:0001006	Hypotrichosis			IEA	IEA						Disease name contained: recessive 1; lah1;;hypotrichosis, localized, autosom	OMIM:607903	HPO:skoehler	21.01.2015
	
