Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000179	Thick lower lip vermilion			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000294	Low anterior hairline			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000322	Short philtrum			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000347	Micrognathia			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000501	Glaucoma			IEA	IEA							OMIM:608227	HPO:skoehler	Jun 20, 2010	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000518	Cataract			TAS	TAS							OMIM:608227	HPO:skoehler	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000540	Hypermetropia			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0000960	Sacral dimple			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0001252	Muscular hypotonia			IEA	IEA							OMIM:608227	HPO:skoehler	Jun 20, 2010	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0001263	Global developmental delay			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0001276	Hypertonia			IEA	IEA							OMIM:608227	HPO:skoehler	Jun 20, 2010	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0001566	Widely-spaced maxillary central incisors			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0001629	Ventricular septal defect			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0001631	Defect in the atrial septum			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0002650	Scoliosis			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0002750	Delayed skeletal maturation			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0003186	Inverted nipples			IEA	IEA							OMIM:608227	HPO	Feb 17, 2009	
OMIM:608227	608227 CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0011398	Central hypotonia			TAS	TAS							OMIM:608227	HPO:skoehler	Oct 17, 2012	
OMIM:608227	608227 CRANIOFACIAL ABNORMALITIES, CATARACTS, CONGENITAL HEART DISEASE, SACRALNEURAL TUBE DEFECTS, AND GROWTH AND DEVELOPMENTAL RETARDATION					HP:0001999	Abnormal facial shape			IEA	IEA						Disease name contained:608227 craniofacial abnormalities, cataract	OMIM:608227	HPO:skoehler	19.01.2015
