Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000160	Narrow mouth			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000179	Thick lower lip vermilion			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000272	Malar flattening			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000286	Epicanthus			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000369	Low-set ears			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000396	Overfolded helix			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000410	Mixed hearing impairment			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000428	Low nasal bridge			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000463	Anteverted nares			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0000508	Ptosis			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0001156	Brachydactyly syndrome			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0001263	Global developmental delay			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0001319	Neonatal hypotonia			TAS	TAS							OMIM:608624	HPO:probinson	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0001328	Specific learning disability			IEA	IEA							OMIM:608624	SKOEHLER	20.06.2010	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0001513	Obesity			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0001943	Hypoglycemia			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0002007	Frontal bossing			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0002750	Delayed skeletal maturation			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0007933	Broad lateral eyebrow			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0008551	Microtia			IEA	IEA							OMIM:608624	HPO	17.02.2009	
OMIM:608624	608624 MIDFACE HYPOPLASIA, OBESITY, DEVELOPMENTAL DELAY, AND NEONATAL HYPOTONIA					HP:0011220	Prominent forehead			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > PROMINENT FOREHEAD	OMIM:608624	HPO:skoehler	17.10.2012
