Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000006	Autosomal dominant inheritance			PCS	PCS							PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000175	Cleft palate			PCS	PCS	common						PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000193	Bifid uvula			PCS	PCS	common						PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000210	Micrognathia			PCS	PCS							PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000238	Hydrocephalus			PCS	PCS	occasional						PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000272	Malar hypoplasia			PCS	PCS	typical						PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000278	Retrognathia			PCS	PCS	typical						PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000316	Hypertelorism			PCS	PCS	hallmark						PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000520	Proptosis			PCS	PCS	typical						PMID:16928994	HPO	17.02.2009
MIM:609192	LOEYS-DIETZ SYNDROME, TYPE 1A LOEYS-DIETZ AORTIC ANEURYSM SYNDROME	MIM:190181	TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE I	TGFBR1 / wt	TGFBR1	HP:0000577	Exotropia			IEA	IEA							MIM:609192	HPO	17.02.2009
