Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0000006	Autosomal dominant inheritance									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0000486	Strabismus									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0000640	Gaze-evoked nystagmus									PCS	12/14							PMID:12489043	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0000641	Dysmetric saccades									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0000716	Depression									PCS	2/14							PMID:12489043	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0001251	Ataxia	FMA:67944	null	HP:0001251	Ataxia					TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0001256	Mental retardation, mild									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0001260	Dysarthria									PCS	11/14							PMID:16211615	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0001272	Cerebellar atrophy									PCS	2/9							PMID:16211615	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0001761	Pes cavus									PCS	3/17							PMID:19471976	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002066	Gait ataxia									PCS	11/14							PMID:16211615	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002070	Limb ataxia	FMA:7182	null	HP:0001251	Ataxia					PCS	12/14							PMID:16211615	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002078	Truncal ataxia									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002081	Memory loss									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002310	Orofacial dyskinesia									PCS	8/14							PMID:16211615	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002346	Head tremor	FMA:7154	null	HP:0001337	Tremor					TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0003677	Slow progression									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0006883	Sensory axonal neuropathy, mild									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0007772	Impaired smooth pursuit									TAS								OMIM:609307	17.02.2009
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002174	Postural tremor									PCS	12/14							PMID:16211615	14.09.2010
MIM:609307	SPINOCEREBELLAR ATAXIA 27	MIM:601515	FIBROBLAST GROWTH FACTOR 14		FGF14	HP:0002495	Impaired vibratory sensation									PCS	9/14							PMID:16211615	14.09.2010
