Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation	Description	Orthologs	Pub	Date Created	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0001263	Developmental retardation									TEA	hallmark							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0001275	Epilepsy									TEA	55%							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0002564	Cardiac malformation									TEA	39%							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0000079	Abnormality of the urinary tract									TEA	37%							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0000028	Cryptorchidism									TEA	71%			male				http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0003745	Sporadic									TEA								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0000006	Autosomal dominant inheritance									TEA								http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0002117	Speech delay									TEA	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0001290	Generalized hypotonia									TEA	hallmark							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
MIM:610443	CHROMOSOME 17q21.31 MICRODELETION SYNDROME			del17q21.31		HP:0000337	Broad forehead									TEA	typical							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=mdel17q21_31	08.09.2010	
