Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0000006	Autosomal dominant inheritance											PCS						PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0008386	Aplasia/Hypoplasia of the nails											PCS	common					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0009835	Aplasia/Hypoplasia of the distal phalanges of the hand											PCS	common					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0009843	Aplasia/Hypoplasia of the middle phalanges of the hand											PCS	typical					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0006152	Proximal symphalangism											PCS	16/16					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0008368	Synostosis involving tarsal bones											PCS	typical					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0009623	Proximally placed thumb											PCS	common					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0009702	Synostosis involving the carpal bones											PCS	10/10					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0010034	Hypoplastic/short 1st metacarpal											PCS	7/10					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0010554	Cutaneous syndactyly of the fingers											PCS	frequent					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0010185	Aplasia/Hypoplasia of the distal phalanges of the toes											PCS	frequent					PMID:17668388; MIM:611377 	24.04.2012	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0010194	Aplasia/Hypoplasia of the middle phalanges of the toes											PCS	frequent					PMID:17668388; MIM:611377 	15.02.2010	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991(p.E48K) / wt; MIM:602991(p.P187S) / wt	NOG	HP:0001204	Distal symphalangism											PCS	5/5					PMID:17668388; MIM:611377 	15.02.2010	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0006031	Hypoplastic or absent interphalangeal creases											PCS	common					PMID:17668388; MIM:611377 	15.02.2010	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0010621	Cutaneous syndactyly of the toes											PCS	frequent					PMID:17668388; MIM:611377 	15.02.2010	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0008611	Sensorineural hearing loss, mild to moderate											PCS	occasional					PMID:17668388; MIM:611377 	15.02.2010	
MIM:611377	BRACHYDACTYLY, TYPE B2	MIM:602991	NOGGIN, MOUSE, HOMOLOG OF	MIM:602991 / wt	NOG	HP:0000540	Hypermetropia											PCS	occasional					PMID:17668388; MIM:611377 	15.02.2010	
