Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0000007	Autosomal recessive inheritance			PCS	PCS							pmid:18211975	HPO:probinson	Jan 9, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0000956	Acanthosis nigricans			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0001007	Hirsutism			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0003758	Reduced subcutaneous adipose tissue			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0000855	Insulin resistance			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0001433	Hepatosplenomegaly			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0001397	Hepatic steatosis			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0000819	Diabetes mellitus			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0002155	Hypertriglyceridemia			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0003124	Hypercholesterolemia			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0002901	Hypocalcemia			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0004322	Short stature			PCS	PCS							pmid:18211975	HPO:probinson	Mar 12, 2013	
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0009125	Lipodystrophy			IEA	IEA						Disease name contained:#612526 lipodystrophy, congenital general	OMIM:612526	HPO:skoehler	27.01.2015
OMIM:612526	#612526 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 3; CGL3;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 3; BSCL3;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 3					HP:0009125	Lipodystrophy			IEA	IEA						Disease name contained:#612526 lipodystrophy, congenital general	OMIM:612526	HPO:skoehler	27.01.2015
