Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0001744	Splenomegaly			IEA	IEA						OMIM-CS:ABDOMEN_SPLEEN > SPLENOMEGALY	OMIM:612918	HPO:skoehler	Oct 17, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0000324	Facial asymmetry			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > FACIAL ASYMMETRY	OMIM:612918	HPO:skoehler	Oct 17, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0004099	Macrodactyly			IEA	IEA						OMIM-CS:SKELETAL_FEET > MACRODACTYLY	OMIM:612918	HPO:skoehler	Oct 17, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0008678	Renal hypoplasia/aplasia			IEA	IEA	rare					OMIM-CS:GENITOURINARY_KIDNEYS > RENAL AGENESIS/HYPOPLASIA (IN SOME PATIENTS)	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0010301	Spinal dysraphism			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > NEURAL TUBE DEFECT (IN SOME PATIENTS)	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0002144	Tethered cord			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > TETHERED CORD (RARE)	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0002650	Scoliosis			IEA	IEA	rare					OMIM-CS:SKELETAL_SPINE > SCOLIOSIS (IN SOME PATIENTS)	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0001528	Hemihypertrophy			IEA	IEA	obligate					OMIM-CS:GROWTH_OTHER > HEMIHYPERTROPHY (MAJOR FEATURE)	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0001548	Overgrowth	HP:0003577	Congenital onset	IEA	IEA						OMIM-CS:GROWTH_OTHER > PRENATAL OVERGROWTH	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0002564	Malformation of the heart and great vessels			IEA	IEA						OMIM-CS:MISCELLANEOUS > CLOVE - CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS,	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0012032	Lipoma			IEA	IEA	common					OMIM-CS:MUSCLE, SOFT TISSUE > LIPOMAS OR LIPOMATOUS MASSES (MOST CASES)	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0001852	Sandal gap			IEA	IEA						OMIM-CS:SKELETAL_FEET > WIDE SANDAL GAP	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME									IEA	IEA						OMIM-CS:SKELETAL_HANDS > PALMAR OVERGROWTH	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0004437	Cranial hyperostosis			IEA	IEA						OMIM-CS:SKELETAL_SKULL > HYPEROSTOSIS OF THE SKULL	OMIM:612918	HPO:skoehler	Nov 18, 2012	
OMIM:612918	#612918 CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMALNEVI;;CLOVE SYNDROME;;CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, EPIDERMALNEVI, AND SKELETAL/SPINAL ABNORMALITIES;;CLOVES SYNDROME					HP:0100559	Lower limb asymmetry			IEA	IEA	rare					OMIM-CS:SKELETAL_LIMBS > LEG LENGTH DISCREPANCY (IN SOME PATIENTS)	OMIM:612918	HPO:skoehler	18.11.2013
