Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0003745	Sporadic									PCS										24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000316	Hypertelorism									PCS	25/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000324	Facial asymmetry									PCS	8/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000280	Coarse facial features									PCS	17/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000098	Tall stature									PCS	13/28								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000256	Macrocephaly									PCS	9/23								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000475	Broad neck									PCS	9/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0002820	Large hands and feet									PCS	13/28								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0001761	Pes cavus									PCS	5/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000957	Cafe-au-lait spots									PCS	27/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000997	Axillary freckling									PCS	28/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0009737	Lisch nodules									PCS	27/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0001263	Developmental retardation									PCS	14/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0001328	Learning disability									PCS	13/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0100543	Cognitive impairment									PCS	27/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0007018	Attention deficit hyperactivity disorder									PCS	8/24								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0002650	Scoliosis									PCS	12/28								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0000767	Pectus excavatum									PCS	9/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0002564	Cardiac malformation									PCS	8/28								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0001275	Epilepsy									PCS	2/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0001252	Muscular hypotonia									PCS	13/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0006936	Speech difficulties									PCS	14/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0009732	Plexiform neurofibroma									PCS	22/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0009735	Spinal neurofibromas									PCS	9/14								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0001067	Neurofibromas									PCS	25/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0100698	Subcutaneous neurofibromas									PCS	22/29								PMID:20543202	24.04.2012	
MIM:613675	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-Mb			del17q11.2		HP:0100697	Neurofibrosarcoma									PCS	6/29								PMID:20543202	24.04.2012	
