Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.0001 / MIM:601147.00007; MIM:606522.0001 / wt; MIM:606522.0004 / wt	GDF3, GDF6	HP:0007633	Bilateral microphthalmos									PCS	hallmark								PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.0001 / MIM:601147.0007; MIM:606522.0001 / wt; MIM:606522.0004 / wt	GDF3, GDF6	HP:0000589	Coloboma									PCS	hallmark						Bilateral coloboma; using PATO's bilateral term doesn't seem correct but can't post-compose with the spatial ontology		PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6	MIM:606522	GROWTH/DIFFERENTIATION FACTOR 3	MIM:606522.0001 / wt; MIM:606522.0004 / wt	GDF3	HP:0000006	Autosomal dominant inheritance									PCS									PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.00001 / MIM:601147.00007	GDF3, GDF6	HP:0010984	Digenic inheritance									PCS							Only one reported case in the literature with this genotype, so I wasn't sure how to report frequencies for her phenotypes.		PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.00001 / MIM:601147.00007	GDF3, GDF6	HP:0000639	Nystagmus									PCS									PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.00001 / MIM:601147.00007	GDF3, GDF6	HP:0007750	Foveal hypoplasia									PCS									PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.00001 / MIM:601147.00007	GDF3, GDF6	HP:0007640	Lifelong reduced visual acuity, legal blindness to low vision									PCS							Visual acuity 20/200		PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.00001 / MIM:601147.00007	GDF3, GDF6	HP:0007766	Hypoplastic optic disks									PCS									PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.00001 / MIM:601147.00007	GDF3, GDF6			FMA:50863	Optic nerve	PATO:0001715	decreased diameter					PCS		PATO:0000460	abnormal						PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6			MIM:606522.00001 / MIM:601147.00007	GDF3, GDF6	HP:0000654	Decreased electroretinogram (ERG)									PCS							Reduced a- and b-wave amplitude on ERG.		PMID:19864492	24.04.2012
MIM:613703	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6	MIM:606522	GROWTH/DIFFERENTIATION FACTOR 3	MIM:606522.0001 / wt	GDF3	HP:0009911	Abnormality of the temporal bone									PCS	1/2						anomalous right temporal bone		PMID:19864492	24.04.2012
