Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0000253	Progressive microcephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > MICROCEPHALY, POSTNATAL, PROGRESSIVE	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0000007	Autosomal recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL RECESSIVE	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0003593	Infantile onset			IEA	IEA						OMIM-CS:MISCELLANEOUS > ONSET IN INFANCY	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0000737	Irritability			IEA	IEA						OMIM-CS:NEUROLOGIC_BEHAVIORAL/PSYCHIATRIC MANIFESTATIONS > IRRITABILITY	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0002169	Clonus			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CLONUS	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0001263	Global developmental delay			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > LACK OF PSYCHOMOTOR DEVELOPMENT	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0001250	Seizures			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SEIZURES	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0002319	Thin corpus callosum			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > THIN CORPUS CALLOSUM	OMIM:613811	HPO:skoehler	Oct 17, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0001272	Cerebellar atrophy			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CEREBELLAR ATROPHY, PROGRESSIVE (CEREBELLAR VERMAL ATROPHY BEFORE	OMIM:613811	HPO:skoehler	Nov 20, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0002059	Cerebral atrophy			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CEREBRAL ATROPHY, PROGRESSIVE, FROM ANTERIOR TO POSTERIOR	OMIM:613811	HPO:skoehler	Nov 20, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0002187	Intellectual disability, profound			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > MENTAL RETARDATION (PROFOUND)	OMIM:613811	HPO:skoehler	Nov 20, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0002360	Sleep disturbance			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SLEEP DISTURBANCES	OMIM:613811	HPO:skoehler	Nov 20, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0002510	Spastic tetraplegia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SPASTIC QUADRIPLEGIA, PROGRESSIVE	OMIM:613811	HPO:skoehler	Nov 20, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0003121	Limb joint contracture			IEA	IEA						OMIM-CS:SKELETAL_LIMBS > CONTRACTURES	OMIM:613811	HPO:skoehler	Nov 20, 2012	
OMIM:613811	#613811 PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D;;CEREBELLOCEREBRAL ATROPHY, PROGRESSIVE; PCCA;;CEREBELLO-CEREBRAL ATROPHY, PROGRESSIVE					HP:0002518	Abnormality of the periventricular white matter			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > PERIVENTRICULAR WHITE MATTER ABNORMALITIES	OMIM:613811	HPO:skoehler	05.06.2013
