Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0005343	Hypoplasia of the bladder			IEA	IEA						OMIM-CS:GENITOURINARY_BLADDER > HYPOPLASTIC BLADDER	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000151	Aplasia of the uterus			IEA	IEA						OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, FEMALE > ABSENT UTERUS	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0003250	Aplasia of the vagina			IEA	IEA						OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, FEMALE > ABSENT VAGINA	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0003774	End stage renal disease			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > END-STAGE RENAL DISEASE	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000126	Hydronephrosis			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > HYDRONEPHROSIS	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000107	Renal cysts			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > RENAL CYSTS	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000089	Renal hypoplasia			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > RENAL HYPOPLASIA	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000122	Unilateral renal agenesis			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > UNILATERAL RENAL AGENESIS	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0005999	Ureteral atresia			IEA	IEA						OMIM-CS:GENITOURINARY_URETERS > URETERAL ATRESIA	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0002007	Frontal bossing			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > FRONTAL BOSSING	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000348	High forehead			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > HIGH FOREHEAD	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000272	Malar flattening			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MALAR FLATTENING	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000347	Micrognathia			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MICROGNATHIA	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000278	Retrognathia			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > RETROGNATHIA	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0005280	Depressed nasal bridge			IEA	IEA						OMIM-CS:HEAD AND NECK_NOSE > DEPRESSED NASAL BRIDGE	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000006	Autosomal dominant inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL DOMINANT	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000750	Delayed speech and language development			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SPEECH DELAY	OMIM:614527	HPO:skoehler	Oct 17, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0002910	Elevated hepatic transaminases			IEA	IEA	rare					OMIM-CS:ABDOMEN_LIVER > ELEVATED LIVER ENZYMES (IN SOME PATIENTS)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000028	Cryptorchidism			IEA	IEA	rare					OMIM-CS:GENITOURINARY_EXTERNAL GENITALIA, MALE > CRYPTORCHIDISM (RARE)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0008661	Urethral stenosis			IEA	IEA	rare					OMIM-CS:GENITOURINARY_EXTERNAL GENITALIA, MALE > URETHRAL STENOSIS (RARE)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000138	Ovarian cysts			IEA	IEA	rare					OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, FEMALE > OVARIAN CYSTS, MULTIPLE (RARE)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000003	Multicystic kidney dysplasia	HP:0003577	Congenital onset	IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > MULTICYSTIC DYSPLASTIC KIDNEYS (PRENATAL ONSET)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000010	Recurrent urinary tract infections			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > URINARY TRACT INFECTIONS, RECURRENT	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0004322	Short stature			IEA	IEA	rare					OMIM-CS:GROWTH_HEIGHT > SHORT STATURE (IN SOME PATIENTS)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0008619	Bilateral sensorineural hearing impairment			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > BILATERAL SENSORINEURAL HEARING LOSS (IN SOME PATIENTS)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000411	Protruding ear			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > PROMINENT EARLOBES (IN SOME PATIENTS)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000494	Downslanted palpebral fissures			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DOWNSLANTING PALPEBRAL FISSURES	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0011856	Pica			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > EPICANTHAL FOLDS (IN SOME PATIENTS)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0002553	Highly arched eyebrow			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > HIGH ARCHED EYEBROWS	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000540	Hypermetropia			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > HYPERMETROPIA (IN SOME PATIENTS)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000666	Horizontal nystagmus			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > NYSTAGMUS, HORIZONTAL (RARE)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000535	Sparse eyebrow			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > SPARSE EYEBROWS LATERALLY (RARE)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
OMIM:614527	#614527 CHROMOSOME 17q12 DELETION SYNDROME					HP:0000324	Facial asymmetry			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_FACE > FACIAL ASYMMETRY, MILD (RARE)	OMIM:614527	HPO:skoehler	Nov 16, 2012	
