Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0004322	Short stature			TAS	TAS	3/7						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0005484	Postnatal microcephaly			TAS	TAS	4/7						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0001249	Intellectual disability			TAS	TAS	5/5						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0000365	Hearing impairment			TAS	TAS	5/6						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0001250	Seizures			TAS	TAS	7/8						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0000243	Trigonocephaly			TAS	TAS	7/7						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0000316	Hypertelorism			TAS	TAS	7/8						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0002553	Highly arched eyebrow			TAS	TAS	7/7						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0000508	Ptosis			TAS	TAS	8/8						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0001339	Lissencephaly			TAS	TAS	7/7						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0000589	Coloboma			TAS	TAS	5/7						OMIM:614583	HPO:probinson	Aug 10, 2013	
OMIM:614583	#614583 BARAITSER-WINTER SYNDROME 2; BRWS2				ACTG1	HP:0000006	Autosomal dominant inheritance			TAS	TAS	5/7						OMIM:614583	HPO:probinson	Aug 10, 2013	
