Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001903	Anemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 748.0729542772291/177). MESHID: D029503	PMID:14984172;PMID:12850491;PMID:18768533;PMID:16239073;PMID:19327583	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0005528	Bone marrow hypocellularity			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 321.0856227375421/43). MESHID: D029503	PMID:18768533;PMID:21062271;PMID:18535205;PMID:20651069;PMID:16968690	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001972	Macrocytic anemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 184.03871305998314/20). MESHID: D029503	PMID:22198155;PMID:22739174;PMID:17082006;PMID:19770060;PMID:19816270	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0010972	Anemia of inadequate production			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 105.28282536725172/12). MESHID: D029503	PMID:23929834;PMID:12153674;PMID:20824457;PMID:16266891;PMID:21435507	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0004810	Congenital hypoplastic anemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 95.14374690176214/10). MESHID: D029503	PMID:12153674;PMID:12736411;PMID:12586610;PMID:18715690;PMID:22619618	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0002863	Myelodysplasia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 91.72142514628143/15). MESHID: D029503	PMID:22198155;PMID:22734070;PMID:21435510;PMID:21068437;PMID:22362038	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001896	Reticulocytopenia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 68.12119383055861/7). MESHID: D029503	PMID:22739174;PMID:17082006;PMID:16531079;PMID:12736411;PMID:22381658	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001510	Growth delay			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 51.33254608915394/9). MESHID: D029503	PMID:19816270;PMID:21435507;PMID:19061985;PMID:20810061;PMID:20606162	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001908	Hypoplastic anemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 50.81821932282053/5). MESHID: D029503	PMID:16239073;PMID:18282522;PMID:22706301;PMID:16159874;PMID:15591911	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001915	Aplastic anemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 46.129957237163985/7). MESHID: D029503	PMID:22739174;PMID:12446419;PMID:17124042;PMID:16794503;PMID:19489057	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0005560	Imbalanced hemoglobin synthesis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 42.54426706637145/7). MESHID: D029503	PMID:17344464;PMID:19810012;PMID:22892608;PMID:19213990;PMID:22213195	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0004322	Short stature			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 40.14028513190348/6). MESHID: D029503	PMID:22739174;PMID:22381658;PMID:15382270;PMID:17663681;PMID:20921022	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001909	Leukemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 39.93694126192136/9). MESHID: D029503	PMID:19587786;PMID:19770060;PMID:21435510;PMID:22362038;PMID:17631177	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0005510	Transient erythroblastopenia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 31.91917961965867/3). MESHID: D029503	PMID:12022425;PMID:19587786;PMID:22892608	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001900	Increased hemoglobin			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 29.17816181628747/4). MESHID: D029503	PMID:15795909;PMID:22619618;PMID:15238419;PMID:22791294	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0001895	Normochromic anemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 28.358922999935878/3). MESHID: D029503	PMID:17082006;PMID:16531079;PMID:17647292	HPO	11.05.2015
DOID-DOID:0001339	Anemia, Diamond-Blackfan					HP:0002721	Immunodeficiency			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 23.348776414115676/6). MESHID: D029503	PMID:21062271;PMID:11797375;PMID:18715690;PMID:22892608;PMID:15849759	HPO	11.05.2015
