Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000100	Nephrotic syndrome			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 5095.398926419738/912). MESHID: D009402	PMID:3590804;PMID:3878244;PMID:9283217;PMID:8322844;PMID:8342574	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000093	Proteinuria			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1966.1919063626988/398). MESHID: D009402	PMID:3590804;PMID:8629633;PMID:9283217;PMID:15942780;PMID:1138712	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000097	Focal segmental glomerulosclerosis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1637.174432694584/243). MESHID: D009402	PMID:17551269;PMID:21505754;PMID:16490619;PMID:6709428;PMID:11849465	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000112	Nephropathy			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1285.170620565295/271). MESHID: D009402	PMID:8322844;PMID:17551269;PMID:2593316;PMID:21505754;PMID:16490619	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000099	Glomerulonephritis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 1027.0518124830535/190). MESHID: D009402	PMID:21505754;PMID:16490619;PMID:3878248;PMID:3973049;PMID:18191306	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000794	IgA deposition in the glomerulus			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 728.7380413310775/108). MESHID: D009402	PMID:9283216;PMID:17551269;PMID:22258558;PMID:10442490;PMID:4003395	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000793	Membranoproliferative glomerulonephritis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 541.4931717812865/76). MESHID: D009402	PMID:17551269;PMID:8629623;PMID:16903627;PMID:6469483;PMID:9292570	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0100820	Glomerulopathy			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 392.17956297315976/53). MESHID: D009402	PMID:17551269;PMID:2629709;PMID:8629623;PMID:20025681;PMID:11135068	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000969	Edema			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 309.4543686268446/72). MESHID: D009402	PMID:22258558;PMID:2629709;PMID:15861346;PMID:12141410;PMID:12234309	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0001919	Acute kidney injury			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 304.8780248819367/55). MESHID: D009402	PMID:8629633;PMID:8322844;PMID:7965423;PMID:2629709;PMID:15861346	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000123	Nephritis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 300.84540629994893/50). MESHID: D009402	PMID:3590804;PMID:1138712;PMID:20631735;PMID:1101284;PMID:6469483	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0003881	Humeral sclerosis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 277.58323639680907/66). MESHID: D009402	PMID:7917852;PMID:3588169;PMID:6191902;PMID:10624118;PMID:15219094	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0003774	Stage 5 chronic kidney disease			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 260.9612336550221/59). MESHID: D009402	PMID:9283216;PMID:6709428;PMID:22258558;PMID:1101284;PMID:9292570	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000790	Hematuria			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 225.8038639501599/38). MESHID: D009402	PMID:9283216;PMID:1101284;PMID:12898372;PMID:1309015;PMID:7848315	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000083	Renal insufficiency			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 200.18313347953136/43). MESHID: D009402	PMID:1138712;PMID:22980509;PMID:10624118;PMID:22948116;PMID:7556327	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0003073	Hypoalbuminemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 185.47122326294266/27). MESHID: D009402	PMID:3538845;PMID:22948116;PMID:9761358;PMID:23153469;PMID:7146313	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0000822	Hypertension			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 185.29324624676983/63). MESHID: D009402	PMID:3590804;PMID:23184202;PMID:1509556;PMID:10624118;PMID:12898372	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0001970	Tubulointerstitial nephritis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 180.5482162294305/26). MESHID: D009402	PMID:1138712;PMID:2629709;PMID:15942794;PMID:9761358;PMID:7848315	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0011034	Amyloidosis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 137.12622817677368/24). MESHID: D009402	PMID:661557;PMID:1086058;PMID:15384747;PMID:8440490;PMID:17256632	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0002907	Microscopic hematuria			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 106.61757588598924/14). MESHID: D009402	PMID:23184202;PMID:14631763;PMID:7111037;PMID:1289609;PMID:19219463	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0008682	Acute tubular necrosis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 105.68157721139072/14). MESHID: D009402	PMID:8629633;PMID:8322844;PMID:16903627;PMID:15909598;PMID:9309942	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0001967	Diffuse mesangial sclerosis			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 100.90728418202076/11). MESHID: D009402	PMID:12898378;PMID:7677584;PMID:12119471;PMID:12225432;PMID:15008217	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0007430	Generalized edema			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 91.29606243148712/11). MESHID: D009402	PMID:18008089;PMID:9761358;PMID:22116504;PMID:11854941;PMID:22562301	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0003077	Hyperlipidemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 90.1152731315452/15). MESHID: D009402	PMID:19241136;PMID:23485078;PMID:2079995;PMID:8403814;PMID:17195422	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0004713	Reversible renal failure			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 89.46126835130413/10). MESHID: D009402	PMID:16903627;PMID:15388821;PMID:10752760;PMID:2384738;PMID:1768579	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0012622	Chronic kidney disease			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 88.40242854150237/13). MESHID: D009402	PMID:6372666;PMID:16529164;PMID:2051645;PMID:12401843;PMID:15008217	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0005435	Impaired T cell function			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 86.35175014663673/10). MESHID: D009402	PMID:15500126;PMID:16525836;PMID:10353405;PMID:12500423;PMID:15671071	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0003075	Hypoproteinemia			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 81.2150568341424/10). MESHID: D009402	PMID:15665542;PMID:6977099;PMID:10215332;PMID:18218316;PMID:2063846	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0100522	Thymoma			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 78.2374708019695/13). MESHID: D009402	PMID:10998921;PMID:10361423;PMID:20560473;PMID:9481441;PMID:19378799	HPO	11.05.2015
DOID-DOID:0010966	Nephrosis, Lipoid					HP:0003212	Increased IgE level			ITM	ITM						Parsed by BioLark from Pubmed abstract (additional info: 77.15603798710356/10). MESHID: D009402	PMID:3878244;PMID:22289548;PMID:7079169;PMID:19556042;PMID:17891348	HPO	11.05.2015
