Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:100800		MIM:134934			FGFR3	HP:0000006																			
MIM:100800		MIM:134934			FGFR3	HP:0000238		FMA:50801		PATO:0001853		FMA:20935													
MIM:100800		MIM:134934			FGFR3	HP:0000254		FMA:63864		PATO:0000001															
MIM:100800		MIM:134934			FGFR3	HP:0000272		FMA:52747		PATO:0000645															
MIM:100800		MIM:134934			FGFR3	HP:0000405																			
MIM:100800		MIM:134934			FGFR3	HP:0000428																			
MIM:100800		MIM:134934			FGFR3	HP:0001156																			
MIM:100800		MIM:134934			FGFR3	HP:0001270																			
MIM:100800		MIM:134934			FGFR3	HP:0001355																			
MIM:100800		MIM:134934			FGFR3	HP:0001536																			
MIM:100800		MIM:134934			FGFR3	HP:0002512																			
MIM:100800		MIM:134934			FGFR3	HP:0002761																			
MIM:100800		MIM:134934			FGFR3	HP:0002781				PATO:0000648															
MIM:100800		MIM:134934			FGFR3	HP:0002938		FMA:75791		PATO:0002017															
MIM:100800		MIM:134934			FGFR3	HP:0002968																			
MIM:100800		MIM:134934			FGFR3	HP:0002970																			
MIM:100800		MIM:134934			FGFR3	HP:0002979		FMA:24979		PATO:0000406															
MIM:100800		MIM:134934			FGFR3	HP:0003015		FMA:24014		PATO:0001785															
MIM:100800		MIM:134934			FGFR3	HP:0003032		FMA:42385		PATO:0000574															
MIM:100800		MIM:134934			FGFR3	HP:0003052																			
MIM:100800		MIM:134934			FGFR3	HP:0003093																			
MIM:100800		MIM:134934			FGFR3	HP:0003505																			
MIM:100800		MIM:134934			FGFR3	HP:0004060																			
MIM:100800		MIM:134934			FGFR3	HP:0004596																			
MIM:100800		MIM:134934			FGFR3	HP:0004597																			
MIM:100800		MIM:134934			FGFR3	HP:0005468		FMA:75306		PATO:0001847															
MIM:100800		MIM:134934			FGFR3	HP:0008414																			
MIM:100800		MIM:134934			FGFR3	HP:0008446		FMA:13478		PATO:0001847															
MIM:100800		MIM:134934			FGFR3	HP:0008622																			
MIM:100800		MIM:134934			FGFR3	HP:0008624																			
MIM:100800		MIM:134934			FGFR3	HP:0008947																			
MIM:101000		MIM:607379			NF2	HP:0000006																			
MIM:101000		MIM:607379			NF2	HP:0000360																			
