Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0001300	Parkinsonism			IEA	IEA							OMIM:168601	HPO:skoehler	Jan 9, 2013	
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0002015	Dysphagia			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > DYSPHAGIA	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0000012	Urinary urgency			IEA	IEA						OMIM-CS:GENITOURINARY_BLADDER > URINARY URGENCY	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0002067	Bradykinesia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > BRADYKINESIA	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0001268	Mental deterioration			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > COGNITIVE DECLINE	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0001260	Dysarthria			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DYSARTHRIA	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0001332	Dystonia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DYSTONIA	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0001288	Gait disturbance			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > GAIT DISTURBANCES	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0002375	Hypokinesia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > HYPOKINESIA	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0001336	Myoclonus			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > MYOCLONUS	OMIM:168601	HPO:skoehler	04.01.2015
OMIM:168601	#168601 PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1PARKINSON DISEASE 1, AUTOSOMAL DOMINANT LEWY BODY;;ATYPICAL PARKINSON DISEASE, INCLUDED					HP:0002172	Postural instability			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > POSTURAL INSTABILITY	OMIM:168601	HPO:skoehler	04.01.2015
