Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:246560	LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:246560	HPO	Feb 17, 2009	
OMIM:246560	LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA					HP:0000160	Narrow mouth			IEA	IEA							OMIM:246560	HPO	Feb 17, 2009	
OMIM:246560	LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA					HP:0000308	Microretrognathia			IEA	IEA							OMIM:246560	HPO	Feb 17, 2009	
OMIM:246560	LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA					HP:0000545	Myopia			IEA	IEA							OMIM:246560	HPO	Feb 17, 2009	
OMIM:246560	LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA					HP:0001249	Intellectual disability			IEA	IEA							OMIM:246560	HPO	Feb 17, 2009	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0000089	Renal hypoplasia			IEA	IEA						OMIM-CS:GENITOURINARY_KIDNEYS > RENAL HYPOPLASIA	OMIM:246560	HPO:skoehler	Oct 17, 2012	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0000377	Abnormality of the pinna			TAS	TAS						OMIM-CS:HEAD AND NECK_EARS > DYSPLASTIC EARS	OMIM:246560	HPO:skoehler	Oct 17, 2012	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0000175	Cleft palate			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > CLEFT PALATE	OMIM:246560	HPO:skoehler	Oct 17, 2012	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0000156	High-arched palate			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > HIGH-ARCHED PALATE	OMIM:246560	HPO:skoehler	Oct 17, 2012	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0000006	Autosomal dominant inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL DOMINANT	OMIM:246560	HPO:skoehler	Oct 17, 2012	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0002164	Nail dysplasia			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_NAILS > DYSTROPHIC NAILS	OMIM:246560	HPO:skoehler	Oct 17, 2012	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0000327	Hypoplasia of the maxilla			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_FACE > MAXILLARY HYPOPLASIA (IN SOME PATIENTS)	OMIM:246560	HPO:skoehler	Nov 18, 2012	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0008404	Nail dystrophy			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_NAILS > DYSTROPHIC NAILS	OMIM:246560	HPO:skoehler	May 3, 2013	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0001807	Ridged nail			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_NAILS > RIDGED NAILS	OMIM:246560	HPO:skoehler	May 31, 2013	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10q24 DUPLICATION SYNDROME					HP:0012385	Camptodactyly			IEA	IEA						OMIM-CS:SKELETAL_HANDS > CAMPTODACTYLY	OMIM:246560	HPO:skoehler	Oct 22, 2013	
OMIM:246560	#246560 SPLIT-HAND/FOOT MALFORMATION 3; SHFM3;;SHSF3;;LIMB DEFICIENCIES, DISTAL, WITH MICROGNATHIA;;CHROMOSOME 10Q24 DUPLICATION SYNDROME					HP:0001171	Split hand			IEA	IEA						Disease name contained:#246560 split-hand/foot malformation 3	OMIM:246560	HPO:skoehler	27.01.2015
