Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:260920	HYPER-IGD SYNDROME					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0000988	Skin rash			TAS	TAS							OMIM:260920	HPO:skoehler	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0001034	Hypermelanotic macule			IEA	IEA							OMIM:260920	HPO:skoehler	Jun 20, 2010	
OMIM:260920	HYPER-IGD SYNDROME					HP:0001369	Arthritis			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0001744	Splenomegaly			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0001974	Leukocytosis			TAS	TAS							OMIM:260920	HPO:skoehler	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0002013	Vomiting			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0002014	Diarrhea			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0002027	Abdominal pain			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0002315	Headache			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0002321	Vertigo			TAS	TAS							OMIM:260920	HPO:skoehler	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0002716	Lymphadenopathy			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0002829	Arthralgia			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0003261	Increased IgA level			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	HYPER-IGD SYNDROME					HP:0003565	Elevated erythrocyte sedimentation rate			IEA	IEA							OMIM:260920	HPO	Feb 17, 2009	
OMIM:260920	#260920 HYPER-IgD SYNDROME; HIDS;;HYPERIMMUNOGLOBULINEMIA D AND PERIODIC FEVER SYNDROME;;PERIODIC FEVER, DUTCH TYPE					HP:0000662	Night blindness			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > NIGHT BLINDNESS	OMIM:260920	HPO:skoehler	28.01.2014
OMIM:260920	#260920 HYPER-IgD SYNDROME; HIDS;;HYPERIMMUNOGLOBULINEMIA D AND PERIODIC FEVER SYNDROME;;PERIODIC FEVER, DUTCH TYPE					HP:0000543	Optic disc pallor			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > OPTIC DISC PALLOR	OMIM:260920	HPO:skoehler	28.01.2014
OMIM:260920	#260920 HYPER-IgD SYNDROME; HIDS;;HYPERIMMUNOGLOBULINEMIA D AND PERIODIC FEVER SYNDROME;;PERIODIC FEVER, DUTCH TYPE					HP:0000510	Retinitis pigmentosa			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > RETINITIS PIGMENTOSA (IN SOME PATIENTS)	OMIM:260920	HPO:skoehler	28.01.2014
