Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0000243	Trigonocephaly			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0000248	Brachycephaly			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0000341	Narrow forehead			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0000347	Micrognathia			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0000414	Bulbous nose			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0000456	Bifid nasal tip			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0001263	Global developmental delay			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0005487	Prominent metopic ridge			IEA	IEA							OMIM:275595	HPO	17.02.2009	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0006009	Widened phalanges			TAS	TAS							OMIM:275595	HPO:probinson	08.05.2012	
OMIM:275595	TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0001783	Broad metatarsals			TAS	TAS							OMIM:275595	HPO:probinson	08.05.2012	
OMIM:275595	275595 TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0011344	Severe global developmental delay			IEA	IEA						OMIM-CS:NEURO > SEVERE PSYCHOMOTOR RETARDATION	OMIM:275595	HPO:skoehler	29.05.2013
OMIM:275595	275595 TRIGONOBRACHYCEPHALY, BULBOUS BIFID NOSE, MICROGNATHIA, AND ABNORMALITIESOF THE HANDS AND FEET					HP:0011803	Bifid nose			IEA	IEA						Disease name contained:eettrigonocephaly - bifid nose - acral anomalies|h	OMIM:275595	HPO:skoehler	21.01.2015

