Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0000709	Psychosis			IEA	IEA							OMIM:300088	HPO	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0000718	Aggressive behavior			IEA	IEA							OMIM:300088	HPO	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0007359	Focal seizures			TAS	TAS							OMIM:300088	HPO:probinson	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0001263	Global developmental delay			TAS	TAS	Common						OMIM:300088	HPO:probinson	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0001417	X-linked inheritance			IEA	IEA							OMIM:300088	HPO	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0002069	Generalized tonic-clonic seizures			TAS	TAS							OMIM:300088	HPO:probinson	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0002133	Status epilepticus			IEA	IEA							OMIM:300088	HPO	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0003593	Infantile onset			IEA	IEA							OMIM:300088	HPO	17.02.2009	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0002121	Absence seizures			TAS	TAS							OMIM:300088	HPO:probinson	20.07.2012	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0010819	Atonic seizures			TAS	TAS							OMIM:300088	HPO:probinson	20.07.2012	
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0002123	Generalized myoclonic seizures			TAS	TAS							OMIM:300088	HPO:probinson	20.07.2012
OMIM:300088	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION					HP:0001249	Intellectual disability			IEA	IEA	Variable					Disease name contained:le-restricted, with mental retardation	OMIM:300088	HPO:skoehler	05.08.2015
	
