Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1				CRYAA	HP:0000518	Cataract			TAS	TAS							OMIM:604219	HPO:probinson	Sep 14, 2013	
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000646	Amblyopia			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > AMBLYOPIA	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0007834	Progressive cataract			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > CATARACT, PROGRESSIVE (IN SOME PATIENTS)	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000612	Iris coloboma			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > COLOBOMA OF THE IRIS (IN SOME PATIENTS)	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000505	Visual impairment			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DECREASED VISUAL ACUITY	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000501	Glaucoma			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > GLAUCOMA	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000482	Microcornea			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > MICROCORNEA (IN SOME PATIENTS)	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000568	Microphthalmos			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > MICROPHTHALMIA (IN SOME PATIENTS)	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000639	Nystagmus			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > NYSTAGMUS	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000486	Strabismus			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > STRABISMUS	OMIM:604219	HPO:skoehler	18.11.2013
OMIM:604219	#604219 CATARACT 9, MULTIPLE TYPES; CTRCT9;;CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;;CATARACT, AUTOSOMAL DOMINANT;;CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1					HP:0000006	Autosomal dominant inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL DOMINANT	OMIM:604219	HPO:skoehler	18.11.2013
