Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0000007	Autosomal recessive inheritance			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0001270	Motor delay			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0001396	Cholestasis			TAS	TAS							MIM:609060	HPO:probinson	Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0001511	Intrauterine growth retardation			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0002079	Hypoplasia of the corpus callosum			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0002151	Increased serum lactate			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0002283	Diffuse brain atrophy			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0002603	Decreased spontaneous movements			TAS	TAS							MIM:609060	HPO:probinson	Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0003577	Congenital onset			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0004448	Fulminant hepatic failure			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0001942	Metabolic acidosis			TAS	TAS						Severe	MIM:609060	HPO:probinson	Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0006799	Basal ganglia cysts			IEA	IEA							MIM:609060		Feb 17, 2009	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0000252	Microcephaly			TAS	TAS						Mild	MIM:609060	HPO:probinson	Apr 17, 2012	
MIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1	MIM:606639	MITOCHONDRIAL ELONGATION FACTOR G1		GFM1	HP:0001347	Hyperreflexia			TAS	TAS							MIM:609060	HPO:probinson	Sep 10, 2012	
OMIM:609060	#609060 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1;;HEPATOENCEPHALOPATHY, EARLY FATAL PROGRESSIVE					HP:0011968	Feeding difficulties			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > FEEDING PROBLEMS	OMIM:609060	HPO:skoehler	17.10.2012
OMIM:609060	#609060 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1;;HEPATOENCEPHALOPATHY, EARLY FATAL PROGRESSIVE					HP:0002240	Hepatomegaly			IEA	IEA						OMIM-CS:ABDOMEN_LIVER > HEPATOMEGALY	OMIM:609060	HPO:skoehler	17.10.2012
OMIM:609060	#609060 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1;;HEPATOENCEPHALOPATHY, EARLY FATAL PROGRESSIVE					HP:0000639	Nystagmus			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > NYSTAGMUS	OMIM:609060	HPO:skoehler	17.10.2012
OMIM:609060	#609060 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1;;HEPATOENCEPHALOPATHY, EARLY FATAL PROGRESSIVE					HP:0000817	Poor eye contact			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > POOR EYE CONTACT	OMIM:609060	HPO:skoehler	17.10.2012
OMIM:609060	#609060 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1;;HEPATOENCEPHALOPATHY, EARLY FATAL PROGRESSIVE					HP:0002490	Increased CSF lactate			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > INCREASED CEREBROSPINAL FLUID LACTATE	OMIM:609060	HPO:skoehler	17.10.2012
OMIM:609060	#609060 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1;;HEPATOENCEPHALOPATHY, EARLY FATAL PROGRESSIVE					HP:0008936	Muscular hypotonia of the trunk			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > AXIAL HYPOTONIA	OMIM:609060	HPO:skoehler	17.10.2012
OMIM:609060	#609060 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1;;HEPATOENCEPHALOPATHY, EARLY FATAL PROGRESSIVE					HP:0001257	Spasticity			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SPASTICITY	OMIM:609060	HPO:skoehler	17.10.2012
