Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:609637	HOLOPROSENCEPHALY 5	MIM:600470	ZINC FINGER PROTEIN OF CEREBELLUM 1	Haploinsufficiency	ZIC2	HP:0000252	Microcephaly			TAS	TAS							MIM:609637	PATOC:GVG; PATOC:PS 	24.04.2012	
MIM:609637	HOLOPROSENCEPHALY 5	MIM:600470	ZINC FINGER PROTEIN OF CEREBELLUM 1	Haploinsufficiency	ZIC2	HP:0001360	Holoprosencephaly			TAS	TAS							MIM:609637	PATOC:GVG; PATOC:PS 	24.04.2012	
MIM:609637	HOLOPROSENCEPHALY 5	MIM:600470	ZINC FINGER PROTEIN OF CEREBELLUM 1	Haploinsufficiency	ZIC2	HP:0001999	Abnormal facial shape			TAS	TAS							MIM:609637	PATOC:GVG; PATOC:PS 	24.04.2012	
MIM:609637	HOLOPROSENCEPHALY 5	MIM:600470	ZINC FINGER PROTEIN OF CEREBELLUM 1	Haploinsufficiency	ZIC2	HP:0001263	Global developmental delay			TAS	TAS							MIM:609637	PATOC:GVG; PATOC:PS 	24.04.2012	
MIM:609637	HOLOPROSENCEPHALY 5	MIM:600470	ZINC FINGER PROTEIN OF CEREBELLUM 1	Haploinsufficiency	ZIC2	HP:0000238	Hydrocephalus			TAS	TAS							MIM:609637	PATOC:GVG; PATOC:PS 	24.04.2012	
MIM:609637	HOLOPROSENCEPHALY 5	MIM:600470	ZINC FINGER PROTEIN OF CEREBELLUM 1	Haploinsufficiency	ZIC2	HP:0000243	Trigonocephaly			TAS	TAS							MIM:609637	PATOC:GVG; PATOC:PS 	24.04.2012	
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000664	Synophrys			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > SYNOPHRYS	OMIM:609637	HPO:skoehler	17.10.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000006	Autosomal dominant inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL DOMINANT	OMIM:609637	HPO:skoehler	17.10.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0001249	Intellectual disability			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > MENTAL RETARDATION	OMIM:609637	HPO:skoehler	17.10.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000664	Synophrys			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_HAIR > SYNOPHRYS	OMIM:609637	HPO:skoehler	17.10.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000400	Macrotia			IEA	IEA	37 %					OMIM-CS:HEAD AND NECK_EARS > LARGE EARS (37%)	OMIM:609637	HPO:skoehler	18.11.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000316	Hypertelorism			IEA	IEA	12 %					OMIM-CS:HEAD AND NECK_EYES > HYPERTELORISM (12%)	OMIM:609637	HPO:skoehler	18.11.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000601	Hypotelorism			IEA	IEA	19 %					OMIM-CS:HEAD AND NECK_EYES > HYPOTELORISM (19%)	OMIM:609637	HPO:skoehler	18.11.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000582	Upslanted palpebral fissure			IEA	IEA	97 %					OMIM-CS:HEAD AND NECK_EYES > UPSLANTING PALPEBRAL FISSURES (97%)	OMIM:609637	HPO:skoehler	18.11.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000341	Narrow forehead			IEA	IEA	53 %					OMIM-CS:HEAD AND NECK_HEAD > BITEMPORAL NARROWING (53%)	OMIM:609637	HPO:skoehler	18.11.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000202	Oral cleft			IEA	IEA	10 %					OMIM-CS:HEAD AND NECK_MOUTH > CLEFT LIP/PALATE (10%)	OMIM:609637	HPO:skoehler	18.11.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0000156	High-arched palate			IEA	IEA	17 %					OMIM-CS:HEAD AND NECK_MOUTH > HIGH-ARCHED PALATE (17%)	OMIM:609637	HPO:skoehler	18.11.2012
OMIM:609637	#609637 HOLOPROSENCEPHALY 5; HPE5					HP:0005280	Depressed nasal bridge			IEA	IEA	33 %					OMIM-CS:HEAD AND NECK_NOSE > FLAT NASAL BRIDGE (33%)	OMIM:609637	HPO:skoehler	18.11.2012
