Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0000253	Progressive microcephaly			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001250	Seizures			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001298	Encephalopathy			IEA	IEA							OMIM:610090	HPO:skoehler	Jun 20, 2010	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001336	Myoclonus			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001508	Failure to thrive			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001622	Premature birth			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001903	Anemia			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001942	Metabolic acidosis			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0001943	Hypoglycemia			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0002151	Increased serum lactate			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0003785	Decreased CSF homovanillic acid (HVA)			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0008872	Feeding difficulties in infancy			IEA	IEA							OMIM:610090	HPO	Feb 17, 2009	
OMIM:610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY					HP:0008936	Muscular hypotonia of the trunk			TAS	TAS							OMIM:610090	HPO:skoehler	Feb 17, 2009	
