Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0001903	Anemia			IEA	IEA							OMIM:613309	HPO:skoehler	Jan 9, 2013	
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0001643	Patent ductus arteriosus			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > PATENT DUCTUS ARTERIOSUS (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0001629	Ventricular septal defect			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > VENTRICULAR SEPTAL DEFECT (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0000776	Congenital diaphragmatic hernia			IEA	IEA	rare					OMIM-CS:CHEST_DIAPHRAGM > DIAPHRAGMATIC HERNIA (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0000086	Ectopic kidney			IEA	IEA	rare					OMIM-CS:GENITOURINARY_KIDNEYS > RENAL ECTOPIA (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0004322	Short stature			IEA	IEA	rare					OMIM-CS:GROWTH_HEIGHT > SHORT STATURE (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0001510	Growth delay			IEA	IEA	rare					OMIM-CS:GROWTH_OTHER > POOR GROWTH (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0000405	Conductive hearing impairment			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > CONDUCTIVE HEARING LOSS (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0000413	Atresia of the external auditory canal			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > EXTERNAL AUDITORY CANAL ATRESIA (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0000369	Low-set ears			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > LOW-SET EARS (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
OMIM:613309	#613309 DIAMOND-BLACKFAN ANEMIA 10; DBA10					HP:0008551	Microtia			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > MICROTIA (IN SOME PATIENTS)	OMIM:613309	HPO:skoehler	05.04.2015
