Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0001651	Dextrocardia			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > DEXTROCARDIA (1 PATIENT)	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0001671	Abnormality of the cardiac septa			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > SEPTAL DEFECTS	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000776	Congenital diaphragmatic hernia			IEA	IEA						OMIM-CS:CHEST_DIAPHRAGM > DIAPHRAGMATIC HERNIA	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000767	Pectus excavatum			IEA	IEA						OMIM-CS:CHEST_EXTERNAL FEATURES > PECTUS EXCAVATUM	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000028	Cryptorchidism			IEA	IEA						OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, MALE > CRYPTORCHIDISM	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0004322	Short stature			IEA	IEA						OMIM-CS:GROWTH_HEIGHT > SHORT STATURE	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0001510	Growth delay			IEA	IEA						OMIM-CS:GROWTH_OTHER > POOR GROWTH	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000494	Downslanted palpebral fissures			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DOWNSLANTING PALPEBRAL FISSURES	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000316	Hypertelorism			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > HYPERTELORISM	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0002058	Myopathic facies			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MYOPATHIC FACIES	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000204	Cleft upper lip			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > CLEFT LIP	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000175	Cleft palate			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > CLEFT PALATE	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0010804	Tented upper lip vermilion			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > TENTED UPPER LIP	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000470	Short neck			IEA	IEA						OMIM-CS:HEAD AND NECK_NECK > SHORT NECK	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0001972	Macrocytic anemia			IEA	IEA						OMIM-CS:HEMATOLOGY > MACROCYTIC ANEMIA	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000023	Inguinal hernia			IEA	IEA						OMIM-CS:MUSCLE, SOFT TISSUE > INGUINAL HERNIA	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0007018	Attention deficit hyperactivity disorder			IEA	IEA						OMIM-CS:NEUROLOGIC_BEHAVIORAL/PSYCHIATRIC MANIFESTATIONS > ATTENTION DEFICIT	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0000752	Hyperactivity			IEA	IEA						OMIM-CS:NEUROLOGIC_BEHAVIORAL/PSYCHIATRIC MANIFESTATIONS > HYPERACTIVITY	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0001263	Global developmental delay			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DELAYED PSYCHOMOTOR DEVELOPMENT	OMIM:614294	HPO:skoehler	22.06.2015
OMIM:614294	#614294 CHROMOSOME 15q25 DELETION SYNDROME					HP:0100807	Long fingers			IEA	IEA						OMIM-CS:SKELETAL_HANDS > LONG FINGERS	OMIM:614294	HPO:skoehler	22.06.2015
