Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46		GJA3	HP:0000006	Autosomal dominant inheritance									PCS									OMIM:601885	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Asn63Ser	GJA3	HP:0010693	Pulverulent Cataract									PCS	18/18								pmid:17893667	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Ser380fs	GJA3	HP:0010693	Pulverulent Cataract									PCS	10/10								pmid:17893667	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Pro187Leu	GJA3	HP:0010693	Pulverulent Cataract									PCS	15/15								pmid:17893667	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Phe32Leu	GJA3	HP:0010698	Nuclear pulverulent cataract									PCS	21/21								pmid:14627959	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Arg76His	GJA3	HP:0010698	Nuclear pulverulent cataract									PCS	19/21								pmid:15286166	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Asn188Thr	GJA3	HP:0010698	Nuclear pulverulent cataract									PCS	12/12								pmid:15448617	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Trp45Ser	GJA3	HP:0100018	Nuclear cataract									PCS	9/9								pmid:15448617	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Arg76Gly	GJA3	HP:0010700	Total cataract									PCS	3/3								pmid:16254549	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:V28M	GJA3	HP:0000518	Cataract									PCS	5/7								pmid:16254549	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Pro59Leu	GJA3	HP:0010925	Nuclear punctate cataract									PCS	15/15								pmid:15208569	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Leu11Ser	GJA3	HP:0000518	Cataract									PCS	10/10								pmid:16971895	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Thr87Met	GJA3	HP:0100018	Nuclear cataract									PCS	2/2								pmid:17615540	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Arg33Leu	GJA3	HP:0100018	Nuclear cataract									PCS	17/17								pmid:17893674	Dec 12, 2010	
MIM:601885	CATARACT, ZONULAR PULVERULENT 3	MIM:121015	GAP JUNCTION PROTEIN, ALPHA-3 CONNEXIN 46	NM_021954.3:Arg76Gly	GJA3	HP:0000518	Cataract									PCS									pmid:419970	Dec 12, 2010	
